Benchmark , L1-dcache-load-misses , L1-icache-load-misses , LLC-load-misses , LLC-store-misses , branch-instructions , branch-misses , context-switches , cpu_clk_unhalted.ref_tsc , cycles , dTLB-load-misses , dTLB-store-misses , dtlb_load_misses.stlb_hit , dtlb_store_misses.stlb_hit , iTLB-load-misses , instructions , instructions:k , itlb.itlb_flush , l2_rqsts.all_code_rd , l2_rqsts.code_rd_miss , mem_inst_retired.all_loads , mem_inst_retired.all_stores , mem_load_retired.l3_miss , msr/tsc/ , offcore_response.demand_code_rd.l3_hit.any_snoop , offcore_response.demand_code_rd.l3_hit.hit_other_core_no_fwd , offcore_response.demand_code_rd.l3_hit.hitm_other_core , offcore_response.demand_code_rd.l3_hit.no_snoop_needed , offcore_response.demand_code_rd.l3_hit.snoop_hit_with_fwd , offcore_response.demand_code_rd.l3_miss.any_snoop , page-faults , tlb_flush.dtlb_thread , tlb_flush.stlb_any , uops_executed.core_cycles_ge_1 , uops_executed.thread , uops_executed.x87 , uops_retired.retire_slots 
PerfLabTests.LowLevelPerf.IntegerFormatting , 0.00793888086666 , 0.00619811525028 , 0.00058226951031 , 0.000135730819892 , 0.201610268793 , 0.0017563876218 , 1.6753415562e-07 , 0.469820142033 , 0.606984026957 , 0.000170700208762 , 0.000116832938203 , 0.00723398245009 , 0.000730181124269 , 4.64208403035e-05 , 2.07360701294e+11 , 0.0442822835701 , 3.42985433383e-06 , 0.00603566147389 , 0.00140923405533 , 0.242824720894 , 0.116319158334 , 0.000487051444028 , 0.471151747025 , 0.00117520508216 , 8.28411550154e-08 , 6.82260424069e-07 , 0.00114011191863 , 3.00428285645e-05 , 0.000247792458645 , 9.26700666042e-06 , 2.67104710075e-05 , 1.53417883917e-05 , 0.387071308011 , 1.16128647026 , 0.000851605636449 , 1.02176116699 
Span.IndexerBench.Indexer1 , 0.00659493787227 , 0.00495087188391 , 0.000519420806597 , 0.000109193360831 , 0.196979378015 , 0.00148695884961 , 1.33107114427e-07 , 0.426288775745 , 0.531056187035 , 0.00015344950657 , 9.84158303212e-05 , 0.00608917788379 , 0.000590434887508 , 3.66105949395e-05 , 2.61954442856e+11 , 0.0374943086932 , 2.80988171827e-06 , 0.00480464290767 , 0.00112463981442 , 0.229854354355 , 0.0793391946264 , 0.000432101119439 , 0.427461922135 , 0.000935553408937 , 6.54045024517e-08 , 5.3390963129e-07 , 0.000907151302376 , 2.40124425126e-05 , 0.000196068852431 , 8.08371477465e-06 , 2.26887619664e-05 , 1.32492389217e-05 , 0.361916963493 , 1.02531346617 , 0.000760774185875 , 0.942580812274 
PerfLabTests.LowLevelPerf.GenericClassWithSTringGenericInstanceMethod , 0.00769638406672 , 0.00642248280385 , 0.000587166299171 , 0.000121873992106 , 0.229758773202 , 0.00181530484284 , 1.73769557131e-07 , 0.493584351289 , 0.620173523058 , 0.000174041264116 , 0.000111140130662 , 0.00704854134258 , 0.000682434208791 , 4.77921179545e-05 , 1.98187764121e+11 , 0.0446537516847 , 3.54803437598e-06 , 0.00627009506117 , 0.00146792502196 , 0.247052683162 , 0.115778635385 , 0.000487726608293 , 0.494947757552 , 0.00122604361615 , 8.78106682175e-08 , 7.04927474305e-07 , 0.00119066764816 , 3.11199181612e-05 , 0.00025398471103 , 9.18239331309e-06 , 2.69903746264e-05 , 1.53895726789e-05 , 0.393036020228 , 1.13229155545 , 0.000849196098187 , 0.966216808966 
SciMark2.kernel.benchmarkLU , 0.00917823677961 , 0.00337990913318 , 0.00034979273398 , 7.5101773711e-05 , 0.209128130683 , 0.00127005009847 , 9.27188590048e-08 , 0.332773311946 , 0.42725629882 , 0.000103011120084 , 6.67566033856e-05 , 0.00416332925889 , 0.000405399827846 , 2.66932169937e-05 , 3.7842355241e+11 , 0.0252731267124 , 1.92196018289e-06 , 0.00330562859006 , 0.000774080175862 , 0.204604801392 , 0.0884549601916 , 0.000294452071734 , 0.333548439597 , 0.000646305420058 , 4.57186131514e-08 , 3.69992827107e-07 , 0.000625026984958 , 1.67310146519e-05 , 0.000134823304932 , 5.41805336096e-06 , 1.55225856387e-05 , 8.89955178147e-06 , 0.312294243499 , 1.0200843318 , 0.000513590406206 , 0.930754048621 
PerfLabTests.LowLevelPerf.GenericClassGenericInstanceMethod , 0.00781021694196 , 0.00664671818319 , 0.000594616816468 , 0.000125213215631 , 0.236109964313 , 0.00187363946741 , 1.79674755139e-07 , 0.509014292627 , 0.646469107385 , 0.000178652447292 , 0.000111903104103 , 0.00731076739119 , 0.000699002569548 , 4.90070254951e-05 , 1.92247374837e+11 , 0.0458030007716 , 3.68005025088e-06 , 0.00648100203218 , 0.00151722408822 , 0.288176521453 , 0.118976098339 , 0.000496116610595 , 0.510390667067 , 0.0012614026028 , 8.93952388925e-08 , 7.34033430208e-07 , 0.00122433167267 , 3.25865411963e-05 , 0.000264137541764 , 9.42090887605e-06 , 2.76331523617e-05 , 1.57523919511e-05 , 0.423313190534 , 1.19938860552 , 0.000864435377289 , 1.00334390798 
PerfLabTests.CastingPerf2.CastingPerf.ObjObjrefValueType , 0.00829955019668 , 0.00588894210151 , 0.000588926229764 , 0.000139371421689 , 0.22649092463 , 0.00170000435841 , 1.56681151167e-07 , 0.468493197152 , 0.589826968143 , 0.000175197003648 , 0.000126380790865 , 0.00820540384467 , 0.000832225210014 , 4.51055255308e-05 , 2.19349932931e+11 , 0.0439796351204 , 3.39437076662e-06 , 0.00574970247835 , 0.00133945595549 , 0.293607600748 , 0.113028798736 , 0.000488606627629 , 0.469765076329 , 0.00111005071096 , 8.05151830411e-08 , 6.42320688761e-07 , 0.00107838839903 , 2.83547795839e-05 , 0.000233888842884 , 9.4638643024e-06 , 2.68432587205e-05 , 1.55919126772e-05 , 0.394812299885 , 1.16186165068 , 0.00086342116211 , 0.981328489449 
Benchstone.BenchI.Puzzle.Test , 0.00460587016264 , 0.00555164987504 , 0.000309949446061 , 6.62126869792e-05 , 0.253303120934 , 0.00258368022379 , 1.50358701425e-07 , 0.389409143681 , 0.483214534266 , 9.20446654888e-05 , 5.74523408041e-05 , 0.00426678532984 , 0.000414216965548 , 3.83598211314e-05 , 2.21716466583e+11 , 0.0293370887163 , 3.0739800724e-06 , 0.00541534831627 , 0.00128971371142 , 0.353941587368 , 0.0611416794383 , 0.000253047786052 , 0.390522289275 , 0.001081401245 , 7.779304923e-08 , 6.37025306134e-07 , 0.00104618377956 , 2.77714781175e-05 , 0.000216081790128 , 5.15167419725e-06 , 1.73414634432e-05 , 9.55358450658e-06 , 0.344906433674 , 1.17142399599 , 0.000457168989575 , 0.9330468206 
Benchstone.BenchF.FFT.Test , 0.00613357477535 , 0.00921710758337 , 0.000372066793828 , 7.76133755836e-05 , 0.189261847902 , 0.00223177670904 , 2.48939917661e-07 , 0.514266052842 , 0.579597035683 , 0.00011865955265 , 6.63238795659e-05 , 0.00545213248596 , 0.000550249697515 , 6.09125441117e-05 , 1.31445371668e+11 , 0.0418883936432 , 4.98801891371e-06 , 0.00899886969765 , 0.00215492692824 , 0.260548466237 , 0.119203042421 , 0.000297666502087 , 0.51596232604 , 0.001799777786 , 1.29795365052e-07 , 1.07305413808e-06 , 0.00175498281204 , 4.67347531682e-05 , 0.000362792256546 , 6.41131741123e-06 , 2.4537995968e-05 , 1.29961822035e-05 , 0.396750421367 , 1.158498005 , 0.00179906734637 , 0.999804058548 
Devirtualization.EqualityComparer.ValueTupleCompareCached , 0.00701006173719 , 0.00812887589217 , 0.000483518330429 , 0.000103515016826 , 0.207088134984 , 0.0020961165639 , 2.21969988469e-07 , 0.530150777526 , 0.637804137612 , 0.000141436502439 , 8.97171131117e-05 , 0.0065595339787 , 0.000632998134499 , 5.48640377127e-05 , 1.51826831332e+11 , 0.0442164530676 , 4.52686783996e-06 , 0.00796119572803 , 0.00188864237292 , 0.297952317901 , 0.138680865577 , 0.000391074367285 , 0.531728068799 , 0.00157193636926 , 1.14670113624e-07 , 9.30145210573e-07 , 0.00153220595437 , 4.0919144169e-05 , 0.000321862081763 , 7.85833432426e-06 , 2.61141984274e-05 , 1.4417543861e-05 , 0.437677172197 , 1.20350388278 , 0.000704576760652 , 1.02918160354 
PerfLabTests.LowLevelPerf.MeasureEvents , 0.00788037951166 , 0.00674379775915 , 0.000605212738405 , 0.000127511814501 , 0.230759929038 , 0.00188055793575 , 1.8220215581e-07 , 0.524212759208 , 0.62848897597 , 0.000179195918583 , 0.000113903213893 , 0.00763591700004 , 0.000744074229527 , 5.01909607376e-05 , 1.88115227548e+11 , 0.046396990083 , 3.73712967931e-06 , 0.00656871066796 , 0.00154403149488 , 0.307069506089 , 0.127089402589 , 0.000497899724657 , 0.525653486838 , 0.00128267623597 , 9.15609024559e-08 , 7.47765089693e-07 , 0.00124186158689 , 3.29360099167e-05 , 0.000269269270012 , 9.51556672648e-06 , 2.78498028484e-05 , 1.57676921675e-05 , 0.424685007457 , 1.20146470461 , 0.000872151399642 , 1.01018736412 
